"","tSNE1","tSNE2","factor"
"TCGA-CJ-5675",2.3079788124414,-19.2809403122246,"4"
"TCGA-IB-AAUM",-1.15595405083072,8.03442723752287,"16"
"TCGA-MP-A4SY",3.93997120156535,-4.71343046010591,"15"
"TCGA-DJ-A13V",11.5512666345289,-31.3696162260383,"19"
"TCGA-HT-8563",-32.6106624565234,-1.21280670729652,"23"
"TCGA-22-5478",3.53525212328334,-8.77641138263757,"7"
"TCGA-DJ-A2PZ",10.8733523034109,-29.944901809111,"19"
"TCGA-IB-AAUP",0.806133089367027,2.19502307492,"7"
"TCGA-VS-A9V3",23.448258015909,4.7291328103573,"9"
"TCGA-AX-A1CR",-9.34798661609705,13.8283549878901,"8"
"TCGA-2G-AAGE",-7.48822676971896,-9.5822762295829,"7"
"TCGA-HT-7479",-34.4239881526338,-1.40690765697363,"23"
"TCGA-AR-A2LH",-9.70972804226906,5.0250097806964,"7"
"TCGA-XF-A8HB",23.1010350983231,6.0194792016255,"9"
"TCGA-EJ-A8FU",-20.900632563556,11.2211376698704,"5"
"TCGA-B0-5400",-4.06588452499568,-17.0286852981933,"4"
"TCGA-LP-A4AW",21.7151157062774,4.27617656486663,"9"
"TCGA-EM-A2CO",8.14589868843926,-34.3319497814255,"19"
"TCGA-WB-A81W",-28.9679075571621,-16.7803595212651,"13"
"TCGA-2G-AAKO",20.7562993536524,-17.8975755015405,"17"
"TCGA-CA-6716",14.0100257202196,22.6397832438139,"10"
"TCGA-DS-A1O9",21.2771013228445,3.82196819926356,"9"
"TCGA-91-6840",7.45597027492063,-7.91504451365082,"15"
"TCGA-LN-A5U5",19.4914621106596,-7.16362464059633,"1"
"TCGA-TM-A84I",-32.9320361444247,0.959864975207294,"23"
"TCGA-H6-8124",2.41659089282142,7.11249923192246,"16"
"TCGA-AZ-4323",1.27972141664416,2.12012060431034,"7"
"TCGA-AZ-4313",18.473229277475,19.1058136049093,"10"
"TCGA-58-A46L",20.0586997569212,-9.68755309376521,"1"
"TCGA-B0-4690",1.40797143794713,-15.4278917512195,"4"
"TCGA-DH-A66B",-34.8325289412249,0.588669155398561,"23"
"TCGA-MP-A4TF",7.59640236202763,-2.50443928601672,"15"
"TCGA-CJ-4905",-1.90795807467651,-16.4720086036858,"4"
"TCGA-GD-A76B",10.8737101384897,4.60815065612994,"20"
"TCGA-BS-A0V6",-7.97469663451696,18.1556636163063,"8"
"TCGA-56-7579",5.25581065499818,-9.95415874935223,"15"
"TCGA-MY-A5BF",25.5897409500995,4.43061568268115,"9"
"TCGA-3A-A9J0",0.840440410669542,10.7456848765901,"16"
"TCGA-QR-A6GT",-24.4070547997573,-11.5560598173347,"13"
"TCGA-FY-A3I5",7.82532794595686,-34.2892081063938,"19"
"TCGA-75-6207",4.77957127261427,-3.00182740125498,"15"
"TCGA-IR-A3LI",-1.37525651841042,15.4359785060135,"9"
"TCGA-2Z-A9JR",-9.46028260773422,-24.2172733542582,"6"
"TCGA-L5-A8NT",9.24321506944864,14.6874344124063,"22"
"TCGA-K1-A42W",-14.2894381948158,-4.81205673993758,"21"
"TCGA-E1-A7Z4",-35.4879422131607,-0.837271816424759,"23"
"TCGA-BR-8291",7.52861389603752,11.4657444886147,"22"
"TCGA-77-8143",12.9290592038747,-8.98282780982851,"17"
"TCGA-L5-A88Z",21.2922875763976,-7.78817687935954,"1"
"TCGA-BR-A4PF",11.9537251533922,15.9556694594124,"22"
"TCGA-B0-5116",-2.36211416560376,-18.081023940803,"4"
"TCGA-SU-A7E7",-21.5698936759233,12.3087519667868,"5"
"TCGA-78-7162",4.61029315353105,-7.11169133907507,"15"
"TCGA-B0-4696",-4.35961992870704,-16.3607080576996,"7"
"TCGA-EJ-5542",-21.7795962077069,13.5124509972456,"5"
"TCGA-CH-5761",-22.9484662485917,13.4761800201453,"5"
"TCGA-IA-A83V",-8.02379447139524,-23.3887326354065,"3"
"TCGA-QR-A70M",-27.7649192673069,-17.3606062081704,"13"
"TCGA-DH-A669",-38.1904366712772,-1.72222196156764,"23"
