"","target","metric","Method","value","finetuning"
"215","Crizotinib","pearson_corr","GNN",0.443526551583842,"No Fine Tuning"
"216","Crizotinib","pearson_corr","GNN",0.140116113246595,"No Fine Tuning"
"217","Crizotinib","pearson_corr","GNN",0.235388092616434,"No Fine Tuning"
"218","Crizotinib","pearson_corr","GNN",0.170031426716471,"No Fine Tuning"
"219","Crizotinib","pearson_corr","GNN",0.311052651503411,"No Fine Tuning"
"220","Crizotinib","pearson_corr","GNN",0.26460582394429,"No Fine Tuning"
"221","Crizotinib","pearson_corr","GNN",0.197724754486187,"No Fine Tuning"
"222","Crizotinib","pearson_corr","GNN",0.263565309836023,"No Fine Tuning"
"223","Crizotinib","pearson_corr","GNN",0.156972033702275,"No Fine Tuning"
"224","Crizotinib","pearson_corr","GNN",0.348582223280959,"No Fine Tuning"
"225","Crizotinib","pearson_corr","GNN",0.245531738275873,"No Fine Tuning"
"226","Crizotinib","pearson_corr","GNN",0.364647824390437,"No Fine Tuning"
"227","Crizotinib","pearson_corr","GNN",0.38798438002252,"No Fine Tuning"
"228","Crizotinib","pearson_corr","GNN",0.30288112203325,"No Fine Tuning"
"229","Crizotinib","pearson_corr","GNN",0.327934726985067,"No Fine Tuning"
"230","Crizotinib","pearson_corr","GNN",0.226311631163376,"No Fine Tuning"
"231","Crizotinib","pearson_corr","GNN",0.163106589391432,"No Fine Tuning"
"232","Crizotinib","pearson_corr","GNN",0.197752448484306,"No Fine Tuning"
"233","Crizotinib","pearson_corr","GNN",0.199947869054206,"No Fine Tuning"
"234","Crizotinib","pearson_corr","GNN",0.335527296252939,"No Fine Tuning"
"235","Crizotinib","pearson_corr","GNN",0.165998371029879,"No Fine Tuning"
"236","Crizotinib","pearson_corr","GNN",0.324155546265839,"No Fine Tuning"
"237","Crizotinib","pearson_corr","GNN",0.0978121295594878,"No Fine Tuning"
"238","Crizotinib","pearson_corr","GNN",0.233214777262252,"No Fine Tuning"
"239","Crizotinib","pearson_corr","GNN",0.338355523864768,"No Fine Tuning"
"240","Crizotinib","pearson_corr","GNN",0.336819083336272,"No Fine Tuning"
"241","Crizotinib","pearson_corr","GNN",0.375390065844926,"No Fine Tuning"
"242","Crizotinib","pearson_corr","GNN",0.311272323221159,"No Fine Tuning"
"243","Crizotinib","pearson_corr","GNN",0.247499392496909,"No Fine Tuning"
"244","Crizotinib","pearson_corr","GNN",0.402524173381632,"No Fine Tuning"
"245","Crizotinib","pearson_corr","GNN",0.220987656829558,"No Fine Tuning"
"246","Crizotinib","pearson_corr","GNN",0.44996100533809,"No Fine Tuning"
"247","Crizotinib","pearson_corr","GNN",0.423469262999655,"No Fine Tuning"
"248","Crizotinib","pearson_corr","GNN",0.374979424985276,"No Fine Tuning"
"249","Crizotinib","pearson_corr","GNN",0.306476518382309,"No Fine Tuning"
"250","Crizotinib","pearson_corr","GNN",0.311534463886575,"No Fine Tuning"
"251","Crizotinib","pearson_corr","GNN",0.265595041512626,"No Fine Tuning"
"252","Crizotinib","pearson_corr","GNN",0.233246258178662,"No Fine Tuning"
"253","Crizotinib","pearson_corr","GNN",0.251277705714447,"No Fine Tuning"
"254","Crizotinib","pearson_corr","GNN",0.40141556660503,"No Fine Tuning"
"255","Crizotinib","pearson_corr","GNN",0.384962188507597,"No Fine Tuning"
"256","Crizotinib","pearson_corr","GNN",0.390649912597439,"No Fine Tuning"
